Area Name,Daily Min Temp,Daily Max Temp,Daily Avg Temp,Total Precipitation,Relative Humidity,Water Bodies,Population Density,Day Length,Urban / Rural Area,Forested Area,Crop Area,Graze Land Area,Habitable
Area 1,20.62,29.55,25.09,37.36,64.98,1,7677,13.48,0,1,1,1,1
Area 2,29.26,39.0,34.13,33.29,77.34,0,3811,13.6,0,1,1,1,1
Area 3,25.98,39.53,32.75,17.62,68.13,0,3060,11.3,1,0,0,0,0
Area 4,23.98,32.38,28.18,60.73,44.17,0,4930,10.37,0,1,0,0,0
Area 5,17.34,31.04,24.19,47.66,49.28,0,5558,10.84,0,1,0,1,0
Area 6,17.34,23.22,20.28,86.57,50.97,1,9871,11.9,0,1,0,1,1
Area 7,15.87,28.64,22.26,3.21,52.89,1,1719,11.15,0,0,1,1,1
Area 8,27.99,41.47,34.73,64.39,68.27,0,6238,11.81,1,0,0,0,0
Area 9,24.02,30.83,27.43,76.29,65.2,1,6780,13.03,0,0,0,1,1
Area 10,25.62,34.92,30.27,75.95,50.16,0,2440,11.68,0,1,1,0,0
Area 11,15.31,21.96,18.64,88.61,43.38,0,9519,10.79,0,1,1,0,0
Area 12,29.55,41.61,35.58,72.9,48.57,0,1828,11.43,0,1,0,0,0
Area 13,27.49,37.84,32.66,92.78,89.22,0,3685,12.97,0,0,0,1,0
Area 14,18.19,29.54,23.86,33.27,63.43,0,301,11.7,0,1,0,1,0
Area 15,17.73,24.69,21.21,50.32,83.37,0,6085,11.0,1,0,0,1,0
Area 16,17.75,24.87,21.31,1.41,82.44,1,6275,11.71,1,1,0,0,1
Area 17,19.56,24.98,22.27,0.7,65.58,1,3260,11.82,1,1,1,1,1
Area 18,22.87,31.09,26.98,24.01,75.33,1,1813,11.19,0,1,0,0,1
Area 19,21.48,32.08,26.78,10.08,49.64,0,7972,13.98,0,1,1,0,0
Area 20,19.37,32.95,26.16,26.02,74.42,0,7939,13.07,1,0,0,1,0
Area 21,24.18,35.85,30.01,17.7,53.62,0,6959,12.77,0,1,1,0,0
Area 22,17.09,26.45,21.77,2.85,81.6,0,852,13.42,1,0,0,1,0
Area 23,19.38,33.91,26.65,90.93,44.19,0,214,12.67,1,1,1,0,0
Area 24,20.5,32.69,26.59,0.82,78.66,0,5441,13.16,0,0,0,0,0
Area 25,21.84,36.14,28.99,73.61,45.0,0,4080,11.65,0,1,0,0,0
Area 26,26.78,37.05,31.92,15.21,84.06,0,6425,12.0,0,1,1,1,1
Area 27,18.0,25.58,21.79,91.22,55.21,0,2918,10.19,0,0,0,0,0
Area 28,22.71,28.24,25.48,89.28,72.72,0,568,11.12,1,1,1,0,0
Area 29,23.89,36.15,30.02,65.39,64.38,0,525,11.47,1,1,1,1,0
Area 30,15.7,21.91,18.8,67.22,58.32,0,8241,12.5,1,0,0,1,0
Area 31,24.11,32.14,28.13,0.53,72.27,1,1675,11.86,0,1,1,0,1
Area 32,17.56,27.88,22.72,98.49,87.38,0,933,12.43,1,0,0,0,0
Area 33,15.98,26.62,21.3,87.78,42.06,1,4206,12.85,1,1,0,0,1
Area 34,29.23,40.24,34.74,89.51,85.94,0,3803,10.17,1,1,1,1,0
Area 35,29.48,36.15,32.82,65.92,70.45,0,1508,11.03,1,1,1,0,0
Area 36,27.13,35.92,31.52,34.48,80.37,1,3581,10.68,0,0,0,1,1
Area 37,19.57,30.74,25.16,89.36,59.19,0,6285,10.75,0,0,1,1,0
Area 38,16.47,31.16,23.81,29.15,63.59,0,5921,12.01,0,1,0,0,0
Area 39,25.26,37.54,31.4,56.27,83.44,1,6944,12.96,0,1,1,1,1
Area 40,21.6,35.83,28.72,9.97,60.74,0,6495,11.09,1,1,0,1,0
Area 41,16.83,29.45,23.14,92.2,66.73,0,8895,13.3,0,0,0,1,0
Area 42,22.43,33.34,27.89,14.08,41.01,1,312,13.57,0,1,0,1,1
Area 43,15.52,22.44,18.98,22.49,47.93,1,6511,11.4,0,0,0,0,1
Area 44,28.64,40.31,34.47,55.81,72.08,0,4901,12.73,1,1,1,1,0
Area 45,18.88,30.12,24.5,76.41,75.85,0,1858,10.47,0,0,0,1,0
Area 46,24.94,35.96,30.45,61.94,69.13,1,5880,12.98,0,1,1,1,1
Area 47,19.68,29.57,24.62,23.21,47.17,0,9073,10.66,0,0,1,0,0
Area 48,22.8,33.09,27.94,0.09,62.27,0,1626,12.75,0,0,0,1,0
Area 49,23.2,31.55,27.37,75.72,57.75,0,940,11.69,1,1,0,0,0
Area 50,17.77,27.97,22.87,98.52,64.78,1,1441,13.71,0,0,0,0,1
Area 51,29.54,36.52,33.03,80.99,83.52,0,1600,11.86,0,1,0,1,1
Area 52,26.63,39.68,33.15,46.02,78.79,1,8221,10.12,1,1,0,0,1
Area 53,29.09,35.95,32.52,90.38,44.2,0,5659,11.92,0,0,0,1,0
Area 54,28.42,34.27,31.35,40.98,84.52,0,6026,13.18,1,1,1,0,0
Area 55,23.97,33.33,28.65,52.49,63.59,1,8807,12.59,1,1,1,0,1
Area 56,28.83,40.41,34.62,47.71,77.19,1,7775,13.87,1,0,0,1,1
Area 57,16.33,25.7,21.02,44.76,47.0,0,9439,13.37,0,0,1,0,0
Area 58,17.94,25.71,21.82,77.52,73.54,0,6557,12.11,0,0,1,1,0
Area 59,15.68,26.26,20.97,52.68,51.82,1,3356,10.83,0,0,1,0,1
Area 60,19.88,28.35,24.11,31.67,61.92,0,2694,10.02,0,0,1,1,0
Area 61,20.83,35.16,27.99,25.82,40.84,0,3756,13.92,0,1,0,1,0
Area 62,19.07,33.3,26.18,3.77,47.58,0,9840,13.75,0,1,1,0,0
Area 63,27.43,37.45,32.44,58.32,44.6,1,2186,11.1,0,0,0,1,1
Area 64,20.35,28.63,24.49,23.0,51.99,1,3255,12.55,0,1,0,1,1
Area 65,19.21,31.59,25.4,14.81,45.0,1,7288,12.92,1,1,1,1,1
Area 66,23.14,28.51,25.82,65.38,74.6,0,6496,12.31,1,0,1,1,0
Area 67,17.11,26.86,21.99,68.12,41.45,0,1078,13.37,0,0,0,1,0
Area 68,27.03,35.4,31.21,75.22,70.89,0,3147,10.31,1,1,0,0,0
Area 69,16.12,30.32,23.22,50.36,47.04,0,2689,13.59,1,0,0,1,0
Area 70,29.8,34.92,32.36,89.41,87.26,0,2106,11.57,0,1,0,0,0
Area 71,26.58,37.11,31.85,93.63,86.65,0,6883,11.92,0,0,1,0,0
Area 72,17.98,30.39,24.18,80.74,51.28,0,6042,11.78,0,1,1,0,0
Area 73,15.08,24.93,20.01,63.56,70.72,0,2699,12.13,1,1,0,0,0
Area 74,27.23,33.09,30.16,30.37,41.4,0,2608,12.39,0,0,0,0,0
Area 75,25.6,40.33,32.97,98.29,86.59,1,8571,12.84,1,0,1,0,1
Area 76,25.94,36.12,31.03,27.41,66.15,0,1293,12.1,1,1,0,1,0
Area 77,26.57,37.71,32.14,20.27,42.16,0,6015,12.74,1,1,0,0,0
Area 78,16.11,23.48,19.79,44.22,57.12,0,2145,11.35,0,1,0,0,0
Area 79,20.38,30.21,25.29,5.68,43.84,1,7896,13.75,0,1,0,1,1
Area 80,16.74,26.03,21.38,97.85,59.65,0,8539,10.26,0,0,0,1,0
Area 81,27.95,33.7,30.82,58.84,73.5,0,9676,12.18,0,0,0,0,0
Area 82,24.35,30.41,27.38,55.7,63.49,0,9664,10.35,1,1,1,1,0
Area 83,19.96,33.34,26.65,65.58,59.19,0,7702,11.77,1,0,1,0,0
Area 84,15.95,23.35,19.65,49.7,45.96,1,3772,11.03,1,0,1,0,0
Area 85,19.66,26.61,23.14,3.21,52.25,0,7281,13.75,0,1,1,0,0
Area 86,19.88,29.93,24.9,61.23,45.01,0,144,10.05,0,1,1,0,0
Area 87,25.94,38.63,32.29,71.62,80.37,0,2185,11.56,1,0,0,1,0
Area 88,24.56,30.18,27.37,41.67,46.76,0,4611,13.13,1,0,1,1,0
Area 89,28.31,39.08,33.69,75.73,69.77,0,6488,10.75,0,1,1,1,1
Area 90,22.08,28.28,25.18,22.7,57.14,0,7875,13.26,1,0,1,1,0
Area 91,16.79,22.16,19.48,22.13,51.3,1,5471,13.44,0,0,0,0,1
Area 92,25.7,31.23,28.46,16.14,71.97,1,8048,12.83,0,1,0,0,1
Area 93,26.41,39.75,33.08,37.2,62.85,1,6323,10.84,1,0,1,0,0
Area 94,23.42,29.6,26.51,84.7,60.01,0,4423,11.09,1,0,1,1,0
Area 95,26.56,32.02,29.29,82.79,69.64,0,6726,10.67,0,0,0,1,0
Area 96,22.41,31.79,27.1,38.28,64.56,0,8914,10.74,1,0,0,0,0
Area 97,22.84,36.28,29.56,58.91,55.17,0,8149,10.15,1,1,1,1,0
Area 98,21.41,29.04,25.23,72.08,67.95,0,7191,13.43,0,0,0,0,0
Area 99,15.38,24.6,19.99,24.12,73.47,1,8776,12.11,1,0,0,1,1
Area 100,16.62,22.02,19.32,16.81,41.33,0,8316,11.31,0,1,1,1,1
Area 101,15.47,24.96,20.22,97.21,63.29,1,1325,11.16,0,1,0,0,1
Area 102,24.55,35.32,29.93,61.76,42.88,0,1348,12.18,0,1,0,0,0
Area 103,19.72,30.42,25.07,98.14,49.32,0,9070,11.31,0,1,1,0,0
Area 104,22.63,30.95,26.79,33.78,68.03,0,5126,13.45,0,1,0,0,0
Area 105,28.61,36.77,32.69,70.3,83.31,0,2942,10.84,0,0,0,1,0
Area 106,18.74,24.81,21.77,22.26,84.14,0,5798,13.53,1,1,1,1,0
Area 107,21.16,29.82,25.49,26.12,43.5,1,1682,12.66,0,0,0,1,1
Area 108,26.33,32.33,29.33,51.19,60.96,1,4948,13.83,0,1,0,1,1
Area 109,18.43,31.1,24.76,31.96,69.15,0,3238,10.06,1,0,0,0,0
Area 110,16.15,30.82,23.49,16.76,47.35,0,4855,10.24,0,1,0,1,0
Area 111,19.35,34.05,26.7,26.29,78.27,1,1617,12.0,0,0,1,0,1
Area 112,17.42,31.07,24.24,3.57,77.21,1,4742,13.65,0,0,1,1,1
Area 113,28.95,39.95,34.45,70.44,85.17,0,5296,12.92,0,1,0,0,0
Area 114,27.12,39.13,33.13,49.21,40.42,1,3868,12.49,0,1,0,0,1
Area 115,24.5,32.35,28.43,9.42,50.83,0,6298,10.13,0,0,0,0,0
Area 116,28.07,39.38,33.73,17.17,81.36,0,8172,11.42,0,1,0,0,0
Area 117,27.06,36.61,31.83,10.25,73.53,0,9788,11.38,0,0,1,0,0
Area 118,17.8,27.62,22.71,61.26,84.72,0,5658,12.17,0,1,1,0,1
Area 119,28.39,40.97,34.68,9.42,42.86,0,1443,11.03,0,1,0,0,0
Area 120,23.09,30.91,27.0,75.43,69.85,0,5590,11.07,0,1,0,0,0
Area 121,27.11,35.29,31.2,2.05,68.45,0,5435,12.48,1,1,0,0,0
Area 122,28.44,42.69,35.56,24.94,41.78,1,148,13.78,0,1,1,1,1
Area 123,19.77,25.33,22.55,89.07,65.68,1,6016,12.64,0,0,0,1,1
Area 124,16.65,26.51,21.58,71.85,70.48,0,2610,12.67,1,0,0,1,0
Area 125,18.42,32.55,25.48,7.3,49.56,0,6325,13.94,1,0,1,0,0
Area 126,21.41,32.51,26.96,82.11,53.67,0,3760,10.61,0,0,1,1,0
Area 127,27.27,37.73,32.5,49.3,72.02,0,1846,10.14,0,1,0,0,0
Area 128,27.91,35.41,31.66,84.68,63.42,0,8787,12.98,1,1,0,0,0
Area 129,15.1,23.54,19.32,60.07,82.9,0,8270,11.76,1,0,0,1,0
Area 130,22.66,36.18,29.42,68.18,57.12,0,733,11.72,0,1,0,0,0
Area 131,21.26,31.85,26.56,99.35,53.33,0,7080,10.9,0,1,1,0,0
Area 132,18.33,28.48,23.41,23.23,89.24,0,2820,12.03,1,1,1,0,0
Area 133,16.8,22.79,19.8,62.39,85.56,1,275,11.77,0,1,1,1,1
Area 134,20.06,25.22,22.64,46.03,41.45,0,8930,11.38,1,0,0,0,0
Area 135,29.14,43.78,36.46,3.95,78.54,0,8252,11.77,0,1,1,0,1
Area 136,19.85,28.62,24.23,1.45,45.52,0,3457,11.54,1,1,1,1,0
Area 137,22.78,33.81,28.3,11.92,41.37,0,4492,13.76,1,0,0,0,0
Area 138,25.55,31.34,28.44,64.91,53.68,0,5479,13.92,0,1,1,0,0
Area 139,20.45,32.29,26.37,56.72,53.47,1,6070,13.36,0,0,1,1,1
Area 140,29.58,43.9,36.74,55.34,80.97,0,8766,13.96,0,0,0,0,0
Area 141,29.44,40.19,34.82,3.19,75.53,1,9938,11.06,0,1,0,0,1
Area 142,18.78,25.04,21.91,46.93,89.08,0,2058,13.37,0,1,0,1,1
Area 143,22.46,33.28,27.87,92.46,75.58,0,6779,11.63,0,1,0,0,0
Area 144,19.51,32.18,25.84,39.76,60.91,0,7448,12.98,0,1,1,1,1
Area 145,19.27,28.34,23.8,62.49,74.95,0,5984,10.81,1,0,1,0,0
Area 146,15.55,29.35,22.45,77.98,89.97,0,8640,13.25,0,1,1,0,1
Area 147,24.14,35.63,29.89,78.39,75.51,1,8928,10.33,1,0,1,0,1
Area 148,22.54,36.53,29.54,51.93,78.08,0,3714,11.08,1,0,1,1,0
Area 149,15.77,27.01,21.39,85.8,86.92,0,3920,13.29,0,1,0,0,0
Area 150,19.18,25.49,22.34,39.14,45.68,1,4422,12.99,0,0,1,0,1
Area 151,28.62,36.72,32.67,88.87,75.24,0,5567,12.0,0,1,0,1,1
Area 152,18.59,25.61,22.1,24.02,82.54,0,5602,12.69,0,1,0,1,1
Area 153,17.17,31.26,24.22,28.02,87.72,0,6479,10.74,1,0,1,1,0
Area 154,22.34,34.95,28.64,5.31,50.55,0,1304,12.67,0,0,1,0,0
Area 155,29.78,41.55,35.67,79.56,65.2,0,6549,10.03,1,0,0,0,0
Area 156,18.63,26.64,22.64,41.71,74.03,0,8639,13.33,1,0,0,1,0
Area 157,25.08,31.92,28.5,22.91,52.37,0,1303,12.07,0,0,1,1,0
Area 158,26.42,38.99,32.71,23.18,70.02,0,6658,13.78,0,1,1,0,1
Area 159,18.56,28.31,23.44,90.14,52.88,0,1082,11.91,0,1,1,1,1
Area 160,25.92,33.18,29.55,83.39,56.67,0,9023,11.73,1,0,0,0,0
Area 161,20.52,31.68,26.1,55.35,62.08,0,6628,11.8,0,0,0,0,0
Area 162,24.48,29.89,27.19,61.61,66.46,1,6755,11.44,1,0,0,0,0
Area 163,24.5,32.76,28.63,47.43,62.47,0,5699,10.67,1,0,1,1,0
Area 164,23.04,32.72,27.88,39.17,64.66,1,5790,13.37,0,0,0,1,1
Area 165,16.35,22.83,19.59,91.55,54.93,0,6005,11.56,0,0,0,0,0
Area 166,27.53,42.38,34.95,12.56,47.95,0,6431,12.12,0,1,1,1,1
Area 167,19.81,26.9,23.36,41.84,42.37,0,8744,10.08,0,0,1,0,0
Area 168,17.8,24.1,20.95,34.46,49.8,1,4173,10.24,0,0,1,1,1
Area 169,15.61,22.65,19.13,49.82,69.1,0,2994,12.39,0,1,1,0,1
Area 170,23.86,36.55,30.21,45.76,79.31,1,2334,13.52,0,1,1,1,1
Area 171,25.16,34.42,29.79,51.89,48.46,1,7731,11.97,0,0,0,1,1
Area 172,15.25,25.9,20.58,13.99,45.43,0,5959,10.66,0,1,1,0,0
Area 173,22.68,27.89,25.29,51.31,77.46,0,8455,10.46,0,1,0,1,1
Area 174,18.4,23.74,21.07,24.24,55.26,0,1547,13.6,1,1,0,1,0
Area 175,24.68,34.14,29.41,18.43,87.57,0,201,12.81,0,1,1,0,1
Area 176,17.62,30.78,24.2,6.48,75.72,0,7534,13.86,0,0,0,1,0
Area 177,25.36,39.22,32.29,76.27,56.34,1,7420,10.33,0,1,0,0,1
Area 178,20.8,26.67,23.73,42.74,54.48,0,9744,13.61,0,1,1,0,0
Area 179,29.05,39.43,34.24,62.66,66.18,0,635,13.38,0,1,1,1,1
Area 180,17.06,31.2,24.13,72.76,43.96,0,7600,13.57,1,1,1,1,0
Area 181,20.12,29.0,24.56,67.93,45.88,1,1800,10.02,1,0,0,0,0
Area 182,16.7,30.0,23.35,47.05,48.79,0,7139,12.97,1,1,0,0,0
Area 183,28.87,35.21,32.04,38.79,78.74,1,9755,12.2,0,1,0,0,1
Area 184,28.16,42.51,35.34,37.6,65.69,1,7214,12.29,1,1,0,0,1
Area 185,18.87,31.38,25.13,64.0,40.53,0,7569,11.88,1,0,0,0,0
Area 186,24.9,39.31,32.11,49.48,73.68,0,6592,12.97,1,1,1,0,0
Area 187,27.26,39.02,33.14,84.91,61.18,0,4444,14.0,0,1,1,1,1
Area 188,23.33,31.96,27.65,87.47,65.54,0,2071,12.84,0,0,1,0,0
Area 189,22.94,37.33,30.14,17.06,50.71,1,9744,12.71,1,0,0,0,0
Area 190,18.63,26.38,22.51,13.62,67.59,0,9885,12.62,1,1,0,0,0
Area 191,16.4,24.72,20.56,63.04,88.96,0,812,12.78,1,1,0,1,0
Area 192,28.46,40.47,34.46,30.12,43.67,0,3755,11.37,0,1,1,0,0
Area 193,28.51,41.16,34.83,1.86,54.2,0,6341,11.28,0,1,1,0,0
Area 194,24.5,38.79,31.64,88.86,52.15,0,6572,13.14,1,0,1,0,0
Area 195,20.09,27.13,23.61,22.69,52.43,0,7860,10.21,0,1,1,1,1
Area 196,20.24,33.22,26.73,92.93,58.94,1,9740,13.04,1,1,1,0,1
Area 197,25.89,38.27,32.08,71.74,80.91,0,3748,13.26,0,1,1,1,1
Area 198,28.46,34.09,31.28,76.27,85.64,0,5224,12.09,1,0,1,1,0
Area 199,28.31,37.18,32.74,20.15,50.11,1,8750,13.64,0,1,0,0,1
Area 200,26.7,34.53,30.61,23.42,67.15,1,2943,11.89,0,1,1,1,1
Area 201,24.63,32.68,28.65,52.13,71.84,0,8073,10.71,0,0,1,0,0
Area 202,16.26,31.09,23.68,17.21,66.09,0,692,11.45,0,0,1,0,0
Area 203,17.42,28.85,23.14,30.54,61.7,0,597,13.62,0,1,0,0,0
Area 204,28.48,40.66,34.57,32.15,49.6,0,2234,13.97,1,1,1,1,0
Area 205,24.1,38.86,31.48,15.96,64.41,1,2549,11.69,0,1,1,0,1
Area 206,15.14,23.91,19.52,20.52,60.06,0,5512,10.67,1,1,0,1,0
Area 207,16.52,29.54,23.03,78.86,79.78,1,7548,11.15,0,1,0,1,1
Area 208,24.95,34.3,29.63,16.72,78.18,0,4392,12.21,0,1,1,1,1
Area 209,15.08,28.77,21.92,2.85,46.7,0,126,12.29,1,0,0,0,0
Area 210,17.41,24.22,20.82,62.94,44.43,0,2353,12.52,1,0,0,1,0
Area 211,23.23,37.71,30.47,97.6,85.41,0,3742,13.34,1,0,0,0,0
Area 212,25.38,32.57,28.97,33.12,66.78,0,3755,12.84,0,0,0,1,0
Area 213,24.78,33.04,28.91,11.87,82.89,0,9575,11.04,1,0,1,0,0
Area 214,18.36,30.93,24.65,57.04,42.91,0,1186,11.58,1,1,0,0,0
Area 215,25.68,34.62,30.15,90.64,66.33,1,8122,13.36,1,1,0,1,1
Area 216,18.56,29.64,24.1,78.41,66.97,0,2115,12.53,1,1,1,0,0
Area 217,19.88,29.33,24.6,62.25,83.04,1,5167,10.67,0,0,1,0,1
Area 218,26.2,38.62,32.41,31.51,44.88,0,7223,11.3,0,0,1,1,0
Area 219,24.74,32.03,28.39,54.19,52.02,1,7184,13.16,0,0,0,1,1
Area 220,27.74,33.32,30.53,9.12,60.33,1,9199,10.69,1,1,1,1,1
Area 221,24.86,32.86,28.86,67.89,83.29,0,3563,12.76,1,0,1,1,0
Area 222,23.52,33.27,28.4,72.51,86.94,1,4441,12.25,1,0,0,1,1
Area 223,16.41,23.09,19.75,96.5,89.64,0,6521,10.59,0,0,1,1,0
Area 224,20.52,29.06,24.79,26.04,87.96,1,4567,12.76,1,1,1,0,1
Area 225,18.98,27.98,23.48,1.85,40.3,0,9100,10.57,1,1,1,0,0
Area 226,18.66,24.23,21.45,54.56,42.39,0,2996,11.59,0,0,1,0,0
Area 227,29.6,40.43,35.01,70.68,47.38,0,3228,11.23,0,0,1,1,0
Area 228,20.9,34.74,27.82,79.04,57.44,0,4355,12.76,1,0,1,1,0
Area 229,28.38,34.9,31.64,19.37,81.5,0,9442,13.13,0,0,0,1,0
Area 230,24.47,35.45,29.96,26.18,84.63,1,6980,10.67,0,1,1,0,1
Area 231,26.92,38.57,32.75,51.26,49.34,1,1434,13.25,0,0,1,0,1
Area 232,22.54,31.73,27.14,33.06,70.98,0,8809,10.03,0,0,1,0,0
Area 233,23.65,35.66,29.66,86.05,85.87,1,7178,12.12,0,0,1,1,1
Area 234,22.39,31.5,26.94,47.38,63.19,1,1388,12.07,1,1,1,1,1
Area 235,17.93,27.98,22.95,79.96,45.18,0,9037,12.5,0,1,1,0,0
Area 236,25.84,30.91,28.37,58.06,62.89,0,5747,10.96,1,0,1,1,0
Area 237,19.21,31.13,25.17,77.31,58.79,0,6028,10.04,0,1,1,1,1
Area 238,15.36,26.98,21.17,33.27,68.88,1,4902,11.82,1,0,0,0,0
Area 239,24.68,30.07,27.37,83.14,61.93,1,797,10.29,0,1,0,1,1
Area 240,17.66,26.34,22.0,27.46,40.87,0,574,13.57,1,0,1,1,0
Area 241,29.11,43.9,36.5,54.61,89.7,0,7796,10.69,0,0,1,1,0
Area 242,29.31,38.52,33.91,21.4,67.18,1,6632,11.7,0,1,0,1,1
Area 243,28.72,38.74,33.73,47.55,63.68,1,8802,11.74,0,1,0,0,1
Area 244,20.55,34.65,27.6,31.82,87.73,1,8829,12.21,0,1,0,1,1
Area 245,15.23,27.4,21.32,26.67,47.79,0,3044,13.13,0,1,1,0,0
Area 246,28.92,39.75,34.34,96.7,49.46,0,5732,11.89,1,0,1,0,0
Area 247,21.42,34.4,27.91,16.01,80.4,0,5484,10.1,0,0,0,1,0
Area 248,29.5,43.14,36.32,78.73,53.04,0,1466,13.08,0,1,0,0,0
Area 249,29.45,39.02,34.24,98.42,79.96,1,1161,10.33,0,0,0,1,1
Area 250,27.8,37.55,32.67,1.99,53.58,0,2407,12.57,0,1,0,1,0
Area 251,19.42,28.28,23.85,69.9,41.66,1,407,13.21,0,0,0,1,1
Area 252,20.78,35.44,28.11,25.29,65.85,0,9288,11.13,0,0,0,1,0
Area 253,27.77,39.74,33.75,4.05,49.83,1,9576,11.8,1,1,0,0,1
Area 254,19.75,25.59,22.67,40.29,77.89,0,9421,10.06,0,0,1,0,0
Area 255,17.54,31.17,24.36,93.52,72.06,0,403,13.22,1,0,0,0,0
Area 256,23.35,33.16,28.25,1.18,86.18,0,6586,12.81,0,1,1,1,1
Area 257,29.04,34.73,31.89,58.79,79.15,0,5666,10.93,0,0,1,1,0
Area 258,25.44,35.94,30.69,50.14,49.04,1,5257,11.56,1,1,0,0,1
Area 259,23.55,32.72,28.14,87.34,80.01,0,3991,12.78,0,0,0,1,0
Area 260,16.46,30.24,23.35,8.4,72.09,0,9146,11.43,0,1,1,0,1
Area 261,24.23,31.27,27.75,68.15,73.45,1,5824,10.65,1,0,1,1,1
Area 262,29.85,43.12,36.48,68.01,81.61,1,6380,12.07,1,0,1,0,1
Area 263,17.1,27.68,22.39,66.91,68.69,0,5450,12.89,0,1,1,0,1
Area 264,22.77,28.32,25.55,94.23,63.3,1,9109,11.28,0,1,1,0,1
Area 265,28.16,42.88,35.52,82.31,71.83,0,9264,10.49,0,0,1,0,0
Area 266,26.11,36.24,31.17,4.2,54.9,0,4233,13.32,1,0,0,1,0
Area 267,25.46,33.36,29.41,47.11,49.13,0,9470,11.01,1,1,1,0,0
Area 268,25.54,35.23,30.38,39.8,70.83,0,204,12.05,1,0,0,0,0
Area 269,20.39,33.97,27.18,31.01,51.69,0,8546,12.77,1,0,0,1,0
Area 270,19.4,27.45,23.43,45.13,44.0,0,7671,11.27,0,0,0,0,0
Area 271,27.14,34.07,30.6,38.42,40.03,0,6701,12.59,0,1,0,0,0
Area 272,27.15,33.44,30.3,43.23,70.42,1,6771,11.84,1,0,0,1,1
Area 273,28.01,35.98,32.0,97.93,58.11,0,8882,12.28,0,0,0,0,0
Area 274,28.7,41.5,35.1,8.86,77.62,1,8816,12.36,0,0,0,1,1
Area 275,22.67,32.39,27.53,92.22,58.76,1,8661,13.3,0,1,1,0,1
Area 276,22.52,29.8,26.16,48.02,64.3,0,3063,12.63,1,0,0,1,0
