Area Name,Daily Min Temp,Daily Max Temp,Daily Avg Temp,Total Precipitation,Relative Humidity,Water Bodies,Population Density,Day Length,Urban / Rural Area,Forested Area,Crop Area,Graze Land Area,Habitable
0,20.62,29.55,25.09,37.36,64.98,1,7677,13.48,0,1,1,1,1
1111,29.26,39.0,34.13,33.29,77.34,0,3811,13.6,0,1,1,1,1
2222,25.98,39.53,32.75,17.62,68.13,0,3060,11.3,1,0,0,0,0
3333,23.98,32.38,28.18,60.73,44.17,0,4930,10.37,0,1,0,0,0
4444,17.34,31.04,24.19,47.66,49.28,0,5558,10.84,0,1,0,1,0
4556,17.34,23.22,20.28,86.57,50.97,1,9871,11.9,0,1,0,1,1
4667,15.87,28.64,22.26,3.21,52.89,1,1719,11.15,0,0,1,1,1
4778,27.99,41.47,34.73,64.39,68.27,0,6238,11.81,1,0,0,0,0
4889,24.02,30.83,27.43,76.29,65.2,1,6780,13.03,0,0,0,1,1
1,25.62,34.92,30.27,75.95,50.16,0,2440,11.68,0,1,1,0,0
112,15.31,21.96,18.64,88.61,43.38,0,9519,10.79,0,1,1,0,0
223,29.55,41.61,35.58,72.9,48.57,0,1828,11.43,0,1,0,0,0
334,27.49,37.84,32.66,92.78,89.22,0,3685,12.97,0,0,0,1,0
445,18.19,29.54,23.86,33.27,63.43,0,301,11.7,0,1,0,1,0
556,17.73,24.69,21.21,50.32,83.37,0,6085,11.0,1,0,0,1,0
667,17.75,24.87,21.31,1.41,82.44,1,6275,11.71,1,1,0,0,1
778,19.56,24.98,22.27,0.7,65.58,1,3260,11.82,1,1,1,1,1
889,22.87,31.09,26.98,24.01,75.33,1,1813,11.19,0,1,0,0,1
1000,21.48,32.08,26.78,10.08,49.64,0,7972,13.98,0,1,1,0,0
1112,19.37,32.95,26.16,26.02,74.42,0,7939,13.07,1,0,0,1,0
1223,24.18,35.85,30.01,17.7,53.62,0,6959,12.77,0,1,1,0,0
1334,17.09,26.45,21.77,2.85,81.6,0,852,13.42,1,0,0,1,0
1445,19.38,33.91,26.65,90.93,44.19,0,214,12.67,1,1,1,0,0
1556,20.5,32.69,26.59,0.82,78.66,0,5441,13.16,0,0,0,0,0
1667,21.84,36.14,28.99,73.61,45.0,0,4080,11.65,0,1,0,0,0
1778,26.78,37.05,31.92,15.21,84.06,0,6425,12.0,0,1,1,1,1
1889,18.0,25.58,21.79,91.22,55.21,0,2918,10.19,0,0,0,0,0
2000,22.71,28.24,25.48,89.28,72.72,0,568,11.12,1,1,1,0,0
2111,23.89,36.15,30.02,65.39,64.38,0,525,11.47,1,1,1,1,0
2223,15.7,21.91,18.8,67.22,58.32,0,8241,12.5,1,0,0,1,0
2334,24.11,32.14,28.13,0.53,72.27,1,1675,11.86,0,1,1,0,1
2445,17.56,27.88,22.72,98.49,87.38,0,933,12.43,1,0,0,0,0
2556,15.98,26.62,21.3,87.78,42.06,1,4206,12.85,1,1,0,0,1
2667,29.23,40.24,34.74,89.51,85.94,0,3803,10.17,1,1,1,1,0
2778,29.48,36.15,32.82,65.92,70.45,0,1508,11.03,1,1,1,0,0
2889,27.13,35.92,31.52,34.48,80.37,1,3581,10.68,0,0,0,1,1
3000,19.57,30.74,25.16,89.36,59.19,0,6285,10.75,0,0,1,1,0
3111,16.47,31.16,23.81,29.15,63.59,0,5921,12.01,0,1,0,0,0
3222,25.26,37.54,31.4,56.27,83.44,1,6944,12.96,0,1,1,1,1
3334,21.6,35.83,28.72,9.97,60.74,0,6495,11.09,1,1,0,1,0
3445,16.83,29.45,23.14,92.2,66.73,0,8895,13.3,0,0,0,1,0
3556,22.43,33.34,27.89,14.08,41.01,1,312,13.57,0,1,0,1,1
3667,15.52,22.44,18.98,22.49,47.93,1,6511,11.4,0,0,0,0,1
3778,28.64,40.31,34.47,55.81,72.08,0,4901,12.73,1,1,1,1,0
3889,18.88,30.12,24.5,76.41,75.85,0,1858,10.47,0,0,0,1,0
4000,24.94,35.96,30.45,61.94,69.13,1,5880,12.98,0,1,1,1,1
4111,19.68,29.57,24.62,23.21,47.17,0,9073,10.66,0,0,1,0,0
4222,22.8,33.09,27.94,0.09,62.27,0,1626,12.75,0,0,0,1,0
4333,23.2,31.55,27.37,75.72,57.75,0,940,11.69,1,1,0,0,0
4445,17.77,27.97,22.87,98.52,64.78,1,1441,13.71,0,0,0,0,1
4457,29.54,36.52,33.03,80.99,83.52,0,1600,11.86,0,1,0,1,1
4468,26.63,39.68,33.15,46.02,78.79,1,8221,10.12,1,1,0,0,1
4479,29.09,35.95,32.52,90.38,44.2,0,5659,11.92,0,0,0,1,0
4490,28.42,34.27,31.35,40.98,84.52,0,6026,13.18,1,1,1,0,0
4501,23.97,33.33,28.65,52.49,63.59,1,8807,12.59,1,1,1,0,1
4512,28.83,40.41,34.62,47.71,77.19,1,7775,13.87,1,0,0,1,1
4523,16.33,25.7,21.02,44.76,47.0,0,9439,13.37,0,0,1,0,0
4534,17.94,25.71,21.82,77.52,73.54,0,6557,12.11,0,0,1,1,0
4545,15.68,26.26,20.97,52.68,51.82,1,3356,10.83,0,0,1,0,1
4557,19.88,28.35,24.11,31.67,61.92,0,2694,10.02,0,0,1,1,0
4568,20.83,35.16,27.99,25.82,40.84,0,3756,13.92,0,1,0,1,0
4579,19.07,33.3,26.18,3.77,47.58,0,9840,13.75,0,1,1,0,0
4590,27.43,37.45,32.44,58.32,44.6,1,2186,11.1,0,0,0,1,1
4601,20.35,28.63,24.49,23.0,51.99,1,3255,12.55,0,1,0,1,1
4612,19.21,31.59,25.4,14.81,45.0,1,7288,12.92,1,1,1,1,1
4623,23.14,28.51,25.82,65.38,74.6,0,6496,12.31,1,0,1,1,0
4634,17.11,26.86,21.99,68.12,41.45,0,1078,13.37,0,0,0,1,0
4645,27.03,35.4,31.21,75.22,70.89,0,3147,10.31,1,1,0,0,0
4656,16.12,30.32,23.22,50.36,47.04,0,2689,13.59,1,0,0,1,0
4668,29.8,34.92,32.36,89.41,87.26,0,2106,11.57,0,1,0,0,0
4679,26.58,37.11,31.85,93.63,86.65,0,6883,11.92,0,0,1,0,0
4690,17.98,30.39,24.18,80.74,51.28,0,6042,11.78,0,1,1,0,0
4701,15.08,24.93,20.01,63.56,70.72,0,2699,12.13,1,1,0,0,0
4712,27.23,33.09,30.16,30.37,41.4,0,2608,12.39,0,0,0,0,0
4723,25.6,40.33,32.97,98.29,86.59,1,8571,12.84,1,0,1,0,1
4734,25.94,36.12,31.03,27.41,66.15,0,1293,12.1,1,1,0,1,0
4745,26.57,37.71,32.14,20.27,42.16,0,6015,12.74,1,1,0,0,0
4756,16.11,23.48,19.79,44.22,57.12,0,2145,11.35,0,1,0,0,0
4767,20.38,30.21,25.29,5.68,43.84,1,7896,13.75,0,1,0,1,1
4779,16.74,26.03,21.38,97.85,59.65,0,8539,10.26,0,0,0,1,0
4790,27.95,33.7,30.82,58.84,73.5,0,9676,12.18,0,0,0,0,0
4801,24.35,30.41,27.38,55.7,63.49,0,9664,10.35,1,1,1,1,0
4812,19.96,33.34,26.65,65.58,59.19,0,7702,11.77,1,0,1,0,0
4823,15.95,23.35,19.65,49.7,45.96,1,3772,11.03,1,0,1,0,0
4834,19.66,26.61,23.14,3.21,52.25,0,7281,13.75,0,1,1,0,0
4845,19.88,29.93,24.9,61.23,45.01,0,144,10.05,0,1,1,0,0
4856,25.94,38.63,32.29,71.62,80.37,0,2185,11.56,1,0,0,1,0
4867,24.56,30.18,27.37,41.67,46.76,0,4611,13.13,1,0,1,1,0
4878,28.31,39.08,33.69,75.73,69.77,0,6488,10.75,0,1,1,1,1
4890,22.08,28.28,25.18,22.7,57.14,0,7875,13.26,1,0,1,1,0
4901,16.79,22.16,19.48,22.13,51.3,1,5471,13.44,0,0,0,0,1
4912,25.7,31.23,28.46,16.14,71.97,1,8048,12.83,0,1,0,0,1
4923,26.41,39.75,33.08,37.2,62.85,1,6323,10.84,1,0,1,0,0
4934,23.42,29.6,26.51,84.7,60.01,0,4423,11.09,1,0,1,1,0
4945,26.56,32.02,29.29,82.79,69.64,0,6726,10.67,0,0,0,1,0
4956,22.41,31.79,27.1,38.28,64.56,0,8914,10.74,1,0,0,0,0
4967,22.84,36.28,29.56,58.91,55.17,0,8149,10.15,1,1,1,1,0
4978,21.41,29.04,25.23,72.08,67.95,0,7191,13.43,0,0,0,0,0
4989,15.38,24.6,19.99,24.12,73.47,1,8776,12.11,1,0,0,1,1
2,16.62,22.02,19.32,16.81,41.33,0,8316,11.31,0,1,1,1,1
13,15.47,24.96,20.22,97.21,63.29,1,1325,11.16,0,1,0,0,1
24,24.55,35.32,29.93,61.76,42.88,0,1348,12.18,0,1,0,0,0
35,19.72,30.42,25.07,98.14,49.32,0,9070,11.31,0,1,1,0,0
46,22.63,30.95,26.79,33.78,68.03,0,5126,13.45,0,1,0,0,0
57,28.61,36.77,32.69,70.3,83.31,0,2942,10.84,0,0,0,1,0
68,18.74,24.81,21.77,22.26,84.14,0,5798,13.53,1,1,1,1,0
79,21.16,29.82,25.49,26.12,43.5,1,1682,12.66,0,0,0,1,1
90,26.33,32.33,29.33,51.19,60.96,1,4948,13.83,0,1,0,1,1
101,18.43,31.1,24.76,31.96,69.15,0,3238,10.06,1,0,0,0,0
113,16.15,30.82,23.49,16.76,47.35,0,4855,10.24,0,1,0,1,0
124,19.35,34.05,26.7,26.29,78.27,1,1617,12.0,0,0,1,0,1
135,17.42,31.07,24.24,3.57,77.21,1,4742,13.65,0,0,1,1,1
146,28.95,39.95,34.45,70.44,85.17,0,5296,12.92,0,1,0,0,0
157,27.12,39.13,33.13,49.21,40.42,1,3868,12.49,0,1,0,0,1
168,24.5,32.35,28.43,9.42,50.83,0,6298,10.13,0,0,0,0,0
179,28.07,39.38,33.73,17.17,81.36,0,8172,11.42,0,1,0,0,0
190,27.06,36.61,31.83,10.25,73.53,0,9788,11.38,0,0,1,0,0
201,17.8,27.62,22.71,61.26,84.72,0,5658,12.17,0,1,1,0,1
212,28.39,40.97,34.68,9.42,42.86,0,1443,11.03,0,1,0,0,0
224,23.09,30.91,27.0,75.43,69.85,0,5590,11.07,0,1,0,0,0
235,27.11,35.29,31.2,2.05,68.45,0,5435,12.48,1,1,0,0,0
246,28.44,42.69,35.56,24.94,41.78,1,148,13.78,0,1,1,1,1
257,19.77,25.33,22.55,89.07,65.68,1,6016,12.64,0,0,0,1,1
268,16.65,26.51,21.58,71.85,70.48,0,2610,12.67,1,0,0,1,0
279,18.42,32.55,25.48,7.3,49.56,0,6325,13.94,1,0,1,0,0
290,21.41,32.51,26.96,82.11,53.67,0,3760,10.61,0,0,1,1,0
301,27.27,37.73,32.5,49.3,72.02,0,1846,10.14,0,1,0,0,0
312,27.91,35.41,31.66,84.68,63.42,0,8787,12.98,1,1,0,0,0
323,15.1,23.54,19.32,60.07,82.9,0,8270,11.76,1,0,0,1,0
335,22.66,36.18,29.42,68.18,57.12,0,733,11.72,0,1,0,0,0
346,21.26,31.85,26.56,99.35,53.33,0,7080,10.9,0,1,1,0,0
357,18.33,28.48,23.41,23.23,89.24,0,2820,12.03,1,1,1,0,0
368,16.8,22.79,19.8,62.39,85.56,1,275,11.77,0,1,1,1,1
379,20.06,25.22,22.64,46.03,41.45,0,8930,11.38,1,0,0,0,0
390,29.14,43.78,36.46,3.95,78.54,0,8252,11.77,0,1,1,0,1
401,19.85,28.62,24.23,1.45,45.52,0,3457,11.54,1,1,1,1,0
412,22.78,33.81,28.3,11.92,41.37,0,4492,13.76,1,0,0,0,0
423,25.55,31.34,28.44,64.91,53.68,0,5479,13.92,0,1,1,0,0
434,20.45,32.29,26.37,56.72,53.47,1,6070,13.36,0,0,1,1,1
446,29.58,43.9,36.74,55.34,80.97,0,8766,13.96,0,0,0,0,0
457,29.44,40.19,34.82,3.19,75.53,1,9938,11.06,0,1,0,0,1
468,18.78,25.04,21.91,46.93,89.08,0,2058,13.37,0,1,0,1,1
479,22.46,33.28,27.87,92.46,75.58,0,6779,11.63,0,1,0,0,0
490,19.51,32.18,25.84,39.76,60.91,0,7448,12.98,0,1,1,1,1
501,19.27,28.34,23.8,62.49,74.95,0,5984,10.81,1,0,1,0,0
512,15.55,29.35,22.45,77.98,89.97,0,8640,13.25,0,1,1,0,1
523,24.14,35.63,29.89,78.39,75.51,1,8928,10.33,1,0,1,0,1
534,22.54,36.53,29.54,51.93,78.08,0,3714,11.08,1,0,1,1,0
545,15.77,27.01,21.39,85.8,86.92,0,3920,13.29,0,1,0,0,0
557,19.18,25.49,22.34,39.14,45.68,1,4422,12.99,0,0,1,0,1
568,28.62,36.72,32.67,88.87,75.24,0,5567,12.0,0,1,0,1,1
579,18.59,25.61,22.1,24.02,82.54,0,5602,12.69,0,1,0,1,1
590,17.17,31.26,24.22,28.02,87.72,0,6479,10.74,1,0,1,1,0
601,22.34,34.95,28.64,5.31,50.55,0,1304,12.67,0,0,1,0,0
612,29.78,41.55,35.67,79.56,65.2,0,6549,10.03,1,0,0,0,0
623,18.63,26.64,22.64,41.71,74.03,0,8639,13.33,1,0,0,1,0
634,25.08,31.92,28.5,22.91,52.37,0,1303,12.07,0,0,1,1,0
645,26.42,38.99,32.71,23.18,70.02,0,6658,13.78,0,1,1,0,1
656,18.56,28.31,23.44,90.14,52.88,0,1082,11.91,0,1,1,1,1
668,25.92,33.18,29.55,83.39,56.67,0,9023,11.73,1,0,0,0,0
679,20.52,31.68,26.1,55.35,62.08,0,6628,11.8,0,0,0,0,0
690,24.48,29.89,27.19,61.61,66.46,1,6755,11.44,1,0,0,0,0
701,24.5,32.76,28.63,47.43,62.47,0,5699,10.67,1,0,1,1,0
712,23.04,32.72,27.88,39.17,64.66,1,5790,13.37,0,0,0,1,1
723,16.35,22.83,19.59,91.55,54.93,0,6005,11.56,0,0,0,0,0
734,27.53,42.38,34.95,12.56,47.95,0,6431,12.12,0,1,1,1,1
745,19.81,26.9,23.36,41.84,42.37,0,8744,10.08,0,0,1,0,0
756,17.8,24.1,20.95,34.46,49.8,1,4173,10.24,0,0,1,1,1
767,15.61,22.65,19.13,49.82,69.1,0,2994,12.39,0,1,1,0,1
779,23.86,36.55,30.21,45.76,79.31,1,2334,13.52,0,1,1,1,1
790,25.16,34.42,29.79,51.89,48.46,1,7731,11.97,0,0,0,1,1
801,15.25,25.9,20.58,13.99,45.43,0,5959,10.66,0,1,1,0,0
812,22.68,27.89,25.29,51.31,77.46,0,8455,10.46,0,1,0,1,1
823,18.4,23.74,21.07,24.24,55.26,0,1547,13.6,1,1,0,1,0
834,24.68,34.14,29.41,18.43,87.57,0,201,12.81,0,1,1,0,1
